COUNTER               VBLEMMA               VBCLASS               BNCFREQ               BNCRNKW               BNCRNKV               SIMRNKV               BNCQRTV
447                   live                  46;47;39              26368                 350                   77                    58                    Q1                    
448                   look                  30;35;109             87421                 94                    23                    16                    Q1                    
449                   loosen                45                    531                   9848                  1446                  629                   Q1                    
450                   lose                  13                    24012                 383                   85                    64                    Q1                    
451                   lounge                47                    244                   16107                 2207                  731                   Q2                    
452                   lower                 9;45                  2734                  3153                  551                   342                   Q1                    
453                   magnify               45;37                 202                   18104                 2422                  750                   Q2                    
454                   make                  26;51;29              194062                43                    8                     5                     Q1                    
455                   manage                83;75;74              12528                 825                   167                   127                   Q1                    
456                   marry                 36;22                 6943                  1463                  276                   191                   Q1                    
457                   matter                91;31                 3171                  2849                  510                   319                   Q1                    
458                   mean                  62;29                 39582                 211                   48                    34                    Q1                    
459                   meet                  47;36                 29976                 292                   61                    46                    Q1                    
460                   melt                  26;45                 1033                  6295                  1004                  509                   Q1                    
461                   mend                  N/A                   544                   9684                  1427                  625                   Q1                    
462                   mimic                 N/A                   398                   11727                 1707                  666                   Q1                    
463                   mind                  88;31                 4697                  2074                  385                   255                   Q1                    
464                   miss                  31                    8303                  1257                  244                   171                   Q1                    
465                   misspend              104                   N/A                   N/A                   N/A                   827                   N/A                   
466                   mistreat              N/A                   41                    44571                 4187                  809                   Q3                    
467                   mix                   26;36;22              3149                  2859                  513                   321                   Q1                    
468                   move                  11;31;45;51           29956                 293                   62                    47                    Q1                    
469                   mow                   21                    122                   24576                 3001                  787                   Q2                    
470                   multiply              108;45                858                   7154                  1119                  549                   Q1                    
471                   munch                 39                    146                   22182                 2794                  776                   Q2                    
472                   nag                   N/A                   193                   18624                 2472                  752                   Q2                    
473                   nap                   40                    39                    45846                 4228                  810                   Q3                    
474                   need                  103;32                53338                 150                   30                    22                    Q1                    
475                   neglect               75                    1203                  5637                  906                   482                   Q1                    
476                   notify                37                    840                   7264                  1137                  555                   Q1                    
477                   nullify               106                   118                   24974                 3028                  788                   Q2                    
478                   obey                  N/A                   1224                  5568                  892                   478                   Q1                    
479                   object                37                    1423                  5025                  821                   451                   Q1                    
480                   observe               30;37;29;35           7117                  1436                  271                   186                   Q1                    
481                   obtain                13                    11881                 870                   175                   132                   Q1                    
482                   offend                31                    850                   7210                  1130                  553                   Q1                    
483                   operate               45                    8845                  1172                  234                   164                   Q1                    
484                   organize              55;26;59              2670                  3211                  558                   345                   Q1                    
485                   originate             55                    1333                  5231                  845                   460                   Q1                    
486                   outnumber             90                    316                   13711                 1942                  697                   Q2                    
487                   overcome              90                    3188                  2831                  509                   318                   Q1                    
488                   overflow              N/A                   239                   16297                 2230                  732                   Q2                    
489                   overpower             N/A                   149                   21892                 2765                  773                   Q2                    
490                   overwhelm             31                    830                   7322                  1145                  558                   Q1                    
491                   own                   100                   5545                  1776                  328                   227                   Q1                    
492                   paint                 24;25;26;29;41;9      3234                  2804                  505                   316                   Q1                    
493                   pardon                33                    186                   19108                 2504                  756                   Q2                    
494                   participate           73                    2604                  3270                  567                   348                   Q1                    
495                   pass                  11;13;17;48;47;66;104 18078                 551                   115                   90                    Q1                    
496                   pat                   20                    743                   7904                  1226                  576                   Q1                    
497                   pause                 53                    3159                  2854                  512                   320                   Q1                    
498                   pay                   68                    29106                 306                   66                    51                    Q1                    
499                   pelt                  57;17                 103                   27103                 3178                  795                   Q2                    
500                   perceive              30;29                 2577                  3287                  574                   351                   Q1                    
501                   perform               26                    8152                  1279                  248                   175                   Q1                    
502                   perish                48                    367                   12401                 1793                  677                   Q1                    
503                   permit                60;64;65              3892                  2422                  438                   279                   Q1                    
504                   perspire              40                    25                    58113                 4734                  814                   Q3                    
505                   persuade              59                    4616                  2100                  390                   256                   Q1                    
506                   pick                  39;30;13              11525                 896                   181                   135                   Q1                    
507                   pinch                 10;20                 450                   10903                 1608                  656                   Q1                    
508                   play                  26;36                 32582                 264                   55                    40                    Q1                    
509                   plead                 N/A                   1547                  4713                  778                   434                   Q1                    
510                   please                31                    2563                  3302                  578                   354                   Q1                    
511                   plow                  10                    N/A                   N/A                   N/A                   827                   N/A                   
512                   pluck                 10;13;41              544                   9682                  1429                  626                   Q1                    
513                   poach                 26;45;35              168                   20336                 2619                  762                   Q2                    
514                   poise                 N/A                   504                   10180                 1492                  640                   Q1                    
515                   polish                9;10                  691                   8307                  1270                  588                   Q1                    
516                   ponder                N/A                   547                   9654                  1424                  623                   Q1                    
517                   pop                   45;43                 1232                  5540                  890                   477                   Q1                    
518                   portray               29                    1104                  5988                  955                   497                   Q1                    
519                   possess               100                   3860                  2436                  442                   282                   Q1                    
520                   pounce                51                    298                   14229                 1998                  707                   Q2                    
521                   pour                  9;26;57;43            3280                  2784                  502                   315                   Q1                    
522                   practice              26                    291                   14435                 2021                  709                   Q2                    
523                   pray                  32                    2307                  3549                  618                   371                   Q1                    
524                   predict               78                    3311                  2765                  497                   312                   Q1                    
525                   prefer                32;31                 6268                  1600                  299                   207                   Q1                    
526                   prepare               55;26                 13092                 785                   162                   125                   Q1                    
527                   press                 12;59;58              6440                  1564                  294                   202                   Q1                    
528                   presume               29                    859                   7151                  1118                  548                   Q1                    
529                   pretend               N/A                   2519                  3338                  585                   357                   Q1                    
530                   preview               N/A                   155                   21352                 2724                  767                   Q2                    
531                   prick                 19;40                 267                   15242                 2114                  722                   Q2                    
532                   print                 25                    2576                  3291                  575                   352                   Q1                    
533                   produce               26;27                 27240                 327                   71                    54                    Q1                    
534                   prohibit              67                    870                   7095                  1109                  545                   Q1                    
535                   promise               13;37                 6012                  1655                  306                   213                   Q1                    
536                   promote               102                   5438                  1814                  333                   230                   Q1                    
537                   prosecute             33                    944                   6717                  1054                  525                   Q1                    
538                   prosper               47;39                 463                   10687                 1569                  650                   Q1                    
539                   protect               85                    7939                  1317                  258                   181                   Q1                    
540                   protest               71                    2263                  3599                  627                   374                   Q1                    
541                   prove                 109;29;97;78          14250                 718                   149                   113                   Q1                    
542                   pull                  11;13;12;15;23;40     12224                 853                   171                   131                   Q1                    
543                   punch                 18;21                 768                   7719                  1194                  569                   Q1                    
544                   punish                33                    1196                  5665                  914                   485                   Q1                    
545                   pup                   28                    N/A                   N/A                   N/A                   827                   N/A                   
546                   purchase              13                    3082                  2895                  520                   326                   Q1                    
547                   push                  11;12;59;23;9;15      8128                  1282                  249                   176                   Q1                    
548                   put                   9                     50962                 165                   35                    26                    Q1                    
549                   quench                31;42                 106                   26670                 3151                  793                   Q2                    
550                   raise                 9;40                  17030                 594                   123                   95                    Q1                    
551                   rap                   18;26;37;43           829                   7328                  1146                  559                   Q1                    
552                   rationalize           84;97                 150                   21778                 2762                  771                   Q2                    
553                   rattle                38;43                 696                   8260                  1265                  586                   Q1                    
554                   reach                 13;51                 22022                 437                   95                    72                    Q1                    
555                   read                  54;37;14;84           23371                 394                   87                    65                    Q1                    
556                   realize               29;84                 4898                  1998                  368                   249                   Q1                    
557                   reap                  10                    442                   11011                 1622                  659                   Q1                    
558                   reappear              48                    613                   8968                  1348                  604                   Q1                    
559                   rearrange             26                    301                   14139                 1983                  704                   Q2                    
560                   rebel                 71                    333                   13244                 1892                  689                   Q2                    
561                   recall                10                    5005                  1963                  364                   246                   Q1                    
562                   receive               13                    22505                 422                   90                    67                    Q1                    
563                   recommend             33;37;48              5353                  1850                  340                   233                   Q1                    
564                   recruit               13;29                 1620                  4581                  762                   430                   Q1                    
565                   recycle               N/A                   722                   8054                  1241                  579                   Q1                    
566                   reduce                76;42                 15780                 646                   134                   103                   Q1                    
567                   reel                  40                    357                   12627                 1816                  681                   Q2                    
568                   reflect               31                    10045                 1027                  208                   150                   Q1                    
569                   refrain               69                    419                   11341                 1665                  663                   Q1                    
570                   refuse                N/A                   9766                  1055                  214                   155                   Q1                    
571                   register              54;101                3031                  2928                  524                   329                   Q1                    
572                   regret                31                    1552                  4704                  775                   432                   Q1                    
573                   reject                77                    5591                  1763                  326                   226                   Q1                    
574                   rejoice               31                    285                   14595                 2043                  712                   Q2                    
575                   relax                 31                    3114                  2882                  517                   324                   Q1                    
576                   release               80                    6707                  1507                  283                   196                   Q1                    
577                   rely                  70                    5174                  1907                  353                   240                   Q1                    
578                   remain                47;109                24950                 371                   81                    62                    Q1                    
579                   remark                37                    2206                  3673                  636                   377                   Q1                    
580                   remember              29                    21037                 458                   99                    76                    Q1                    
581                   remind                37                    4467                  2160                  399                   261                   Q1                    
582                   remove                10                    10882                 938                   190                   140                   Q1                    
583                   renounce              10                    344                   12959                 1852                  686                   Q2                    
584                   repair                45;51                 1244                  5497                  885                   476                   Q1                    
585                   repeat                55;26;37              6145                  1625                  302                   209                   Q1                    
586                   replace               13                    10287                 999                   203                   146                   Q1                    
587                   reply                 37                    7089                  1442                  272                   187                   Q1                    
588                   repress               42;16                 260                   15489                 2150                  726                   Q2                    
589                   reprimand             33                    155                   21373                 2725                  768                   Q2                    
590                   reproduce             45                    1497                  4820                  796                   443                   Q1                    
591                   request               58                    2143                  3746                  650                   383                   Q1                    
592                   rescue                10                    1496                  4823                  797                   444                   Q1                    
593                   reserve               13                    1727                  4364                  738                   422                   Q1                    
594                   respect               31                    1521                  4772                  786                   438                   Q1                    
595                   respond               37                    6699                  1509                  284                   197                   Q1                    
596                   restore               13                    3829                  2452                  444                   284                   Q1                    
597                   restrict              76                    3669                  2539                  461                   291                   Q1                    
598                   result                48                    8061                  1292                  253                   180                   Q1                    
599                   retain                N/A                   5750                  1714                  318                   220                   Q1                    
600                   retire                82;10                 2902                  3023                  532                   334                   Q1                    
601                   retreat               82;45;51              930                   6801                  1066                  530                   Q1                    
602                   return                11;13;51;26           22076                 435                   93                    70                    Q1                    
603                   review                34                    3360                  2729                  492                   308                   Q1                    
604                   ride                  51                    2892                  3035                  534                   335                   Q1                    
605                   ridicule              33                    218                   17284                 2338                  743                   Q2                    
606                   rinse                 10;41                 309                   13873                 1959                  701                   Q2                    
607                   rip                   45;21;23              999                   6446                  1023                  511                   Q1                    
608                   rise                  47;45;51;50;48        12748                 807                   165                   126                   Q1                    
609                   risk                  94                    1771                  4284                  726                   415                   Q1                    
610                   roam                  51                    477                   10508                 1538                  645                   Q1                    
611                   roar                  51;57;38;37;43        909                   6918                  1082                  533                   Q1                    
612                   rob                   10                    881                   7042                  1105                  542                   Q1                    
613                   rub                   9;10;20;40            1852                  4159                  710                   410                   Q1                    
614                   run                   11;18;26;51;47        32284                 268                   57                    42                    Q1                    
615                   rush                  51;59;53              2782                  3121                  547                   340                   Q1                    
616                   salute                33;40                 310                   13839                 1953                  700                   Q2                    
617                   save                  54;13                 9809                  1050                  212                   154                   Q1                    
618                   say                   37;78                 269165                33                    4                     4                     Q1                    
619                   scare                 31                    219                   17223                 2332                  741                   Q2                    
620                   scold                 33                    216                   17401                 2346                  744                   Q2                    
621                   scramble              26;51;22              797                   7525                  1173                  563                   Q1                    
622                   scratch               10;21;25;18;35;40     940                   6741                  1056                  526                   Q1                    
623                   scream                37;43                 2290                  3567                  621                   373                   Q1                    
624                   scribble              25                    275                   14959                 2086                  719                   Q2                    
625                   search                35                    4010                  2366                  425                   273                   Q1                    
626                   secure                99;13;22              5207                  1897                  349                   239                   Q1                    
627                   see                   30;29                 134555                61                    13                    8                     Q1                    
628                   seek                  35                    15105                 675                   141                   108                   Q1                    
629                   seem                  109                   58345                 132                   28                    20                    Q1                    
630                   seize                 10;13;15              2396                  3449                  601                   363                   Q1                    
631                   select                13;29                 5324                  1858                  341                   234                   Q1                    
632                   sell                  13                    17473                 576                   120                   94                    Q1                    
633                   send                  11;92                 21736                 442                   97                    74                    Q1                    
634                   separate              10;29;23              4156                  2300                  417                   270                   Q1                    
635                   serve                 68;54;13;29;104       14879                 690                   143                   109                   Q1                    
636                   set                   9;25;26;59;41         36492                 233                   51                    36                    Q1                    
637                   settle                46;89                 6883                  1475                  278                   192                   Q1                    
638                   sew                   9;26;22               549                   9631                  1420                  621                   Q1                    
639                   shake                 26;22;47;31;40;9      8711                  1185                  237                   166                   Q1                    
640                   shatter               44;45                 900                   6957                  1092                  537                   Q1                    
641                   shift                 11;26;45              3126                  2873                  514                   322                   Q1                    
642                   shine                 43                    1202                  5639                  910                   483                   Q1                    
643                   shiver                40                    1057                  6194                  984                   504                   Q1                    
644                   shoot                 13;42;17              7071                  1445                  274                   189                   Q1                    
645                   shove                 11;12;17;23           585                   9260                  1376                  608                   Q1                    
646                   show                  48;37;29;40;78        51304                 163                   34                    25                    Q1                    
647                   shrink                45;40                 912                   6904                  1081                  532                   Q1                    
648                   shuffle               51;22;40              577                   9344                  1385                  610                   Q1                    
649                   shun                  52                    216                   17419                 2347                  745                   Q2                    
650                   shut                  45                    4216                  2273                  411                   265                   Q1                    
651                   sing                  26;37;43              5028                  1954                  362                   244                   Q1                    
652                   sink                  45                    2858                  3059                  536                   336                   Q1                    
653                   sip                   39                    888                   7006                  1099                  540                   Q1                    
654                   sit                   9;47;50               25048                 368                   80                    61                    Q1                    
655                   skip                  51                    511                   10086                 1478                  636                   Q1                    
656                   slap                  18;17                 782                   7628                  1186                  566                   Q1                    
657                   slay                  42                    266                   15269                 2116                  723                   Q2                    
658                   slice                 18;21;23              633                   8802                  1325                  597                   Q1                    
659                   slide                 11;45;51              2693                  3188                  555                   343                   Q1                    
660                   slip                  11;45;23              4379                  2194                  401                   262                   Q1                    
661                   slither               51                    238                   16351                 2237                  733                   Q2                    
662                   slurp                 39                    31                    51914                 4483                  813                   Q3                    
663                   smash                 18;45;21;17           1269                  5415                  866                   466                   Q1                    
664                   smear                 9                     283                   14677                 2049                  713                   Q2                    
665                   smell                 35;30;43;109          1404                  5060                  826                   453                   Q1                    
666                   smoke                 44;39                 2151                  3730                  644                   380                   Q1                    
667                   smother               9;42                  302                   14103                 1979                  703                   Q2                    
668                   smudge                9                     76                    32180                 3517                  800                   Q2                    
669                   snap                  45;37;43;40;23        2647                  3236                  563                   347                   Q1                    
670                   snatch                10;13                 1097                  6019                  959                   498                   Q1                    
671                   sneak                 11;10;51              392                   11837                 1726                  668                   Q1                    
672                   sneeze                40                    101                   27384                 3200                  796                   Q2                    
673                   sniff                 30;37;40              930                   6800                  1068                  531                   Q1                    
674                   snooze                40                    21                    63046                 4878                  818                   Q3                    
675                   snore                 40                    167                   20418                 2623                  763                   Q2                    
676                   snuggle               N/A                   141                   22569                 2831                  778                   Q2                    
677                   soak                  9;10;45               872                   7082                  1108                  544                   Q1                    
678                   soar                  45;51                 848                   7219                  1131                  554                   Q1                    
679                   sob                   40                    496                   10281                 1510                  642                   Q1                    
680                   solve                 84                    3456                  2679                  484                   303                   Q1                    
681                   soothe                31;59                 389                   11911                 1729                  671                   Q1                    
682                   sow                   9                     551                   9596                  1414                  618                   Q1                    
683                   spank                 18                    42                    44371                 4164                  808                   Q3                    
684                   spare                 54                    958                   6638                  1040                  520                   Q1                    
685                   spawn                 27;28                 392                   11844                 1725                  667                   Q1                    
686                   speak                 37                    22369                 428                   92                    69                    Q1                    
687                   spell                 25                    1345                  5192                  838                   457                   Q1                    
688                   spend                 68;66                 20058                 496                   107                   84                    Q1                    
689                   spill                 9;43;48               1071                  6124                  974                   500                   Q1                    
690                   spin                  9;26;51;40            1386                  5098                  830                   455                   Q1                    
691                   splash                9;43                  661                   8553                  1289                  591                   Q1                    
692                   split                 45;51;40;23           2568                  3297                  576                   353                   Q1                    
693                   spoil                 45                    1253                  5468                  877                   474                   Q1                    
694                   sprain                40                    22                    62292                 4872                  817                   Q3                    
695                   spray                 9                     577                   9342                  1386                  611                   Q1                    
696                   spread                9;48                  5635                  1745                  321                   222                   Q1                    
697                   spring                51                    1510                  4795                  791                   440                   Q1                    
698                   sprinkle              9;57                  363                   12484                 1799                  679                   Q1                    
699                   squeak                38;37;43              154                   21437                 2729                  769                   Q2                    
700                   squeal                38;37;43              190                   18798                 2484                  755                   Q2                    
701                   squeeze               9;10;26;12;20         1728                  4362                  737                   421                   Q1                    
702                   squint                30;40                 268                   15233                 2108                  720                   Q2                    
703                   stab                  19;18;42              906                   6928                  1085                  535                   Q1                    
704                   stain                 9;24                  743                   7898                  1225                  575                   Q1                    
705                   stamp                 25;29;40              988                   6494                  1029                  516                   Q1                    
706                   stand                 9;47;31;50            26503                 348                   76                    57                    Q1                    
707                   stare                 30                    622                   8888                  1335                  600                   Q1                    
708                   start                 55;31                 32401                 266                   56                    41                    Q1                    
709                   starve                40                    550                   9622                  1416                  619                   Q1                    
710                   stay                  46;47;109             16386                 616                   128                   100                   Q1                    
711                   steal                 10;13;48              4260                  2247                  406                   263                   Q1                    
712                   steer                 51                    978                   6548                  1035                  518                   Q1                    
713                   stew                  31;45                 64                    35304                 3730                  803                   Q3                    
714                   sting                 31;20;40              544                   9688                  1428                  624                   Q1                    
715                   stink                 43                    214                   17501                 2351                  746                   Q2                    
716                   stir                  47;31;22              2352                  3503                  608                   368                   Q1                    
717                   stop                  46;55;67              20748                 466                   101                   78                    Q1                    
718                   strain                10;40                 1035                  6282                  1000                  507                   Q1                    
719                   stray                 51                    452                   10864                 1601                  655                   Q1                    
720                   stretch               47;45;40              3875                  2430                  439                   280                   Q1                    
721                   strike                18;31;43              6849                  1480                  280                   194                   Q1                    
722                   strip                 10;41                 1460                  4926                  805                   448                   Q1                    
723                   strive                N/A                   945                   6712                  1053                  524                   Q1                    
724                   struggle              36                    3343                  2739                  494                   309                   Q1                    
725                   study                 30;14;84;34           8248                  1265                  245                   172                   Q1                    
726                   stumble               51                    1034                  6286                  1002                  508                   Q1                    
727                   submit                13;95                 3513                  2634                  477                   300                   Q1                    
728                   subtract              10;108                220                   17195                 2325                  740                   Q2                    
729                   succeed               74                    5215                  1892                  347                   237                   Q1                    
730                   suck                  10;39                 1213                  5598                  898                   479                   Q1                    
731                   sue                   N/A                   1481                  4859                  799                   445                   Q1                    
732                   suggest               37;48                 26883                 341                   73                    56                    Q1                    
733                   supply                13                    6532                  1544                  289                   201                   Q1                    
734                   suppose               29                    11477                 900                   182                   136                   Q1                    
735                   surpass               90                    281                   14764                 2063                  715                   Q2                    
736                   surprise              31                    1059                  6183                  981                   502                   Q1                    
737                   survive               47;39                 6874                  1476                  279                   193                   Q1                    
738                   suspect               81;29                 3370                  2722                  491                   307                   Q1                    
739                   swallow               39;40                 1955                  3997                  688                   400                   Q1                    
740                   swap                  13                    549                   9630                  1421                  620                   Q1                    
741                   sway                  47;59;49              710                   8138                  1250                  582                   Q1                    
742                   swear                 29                    1882                  4108                  698                   406                   Q1                    
743                   sweat                 43;40                 511                   10096                 1479                  637                   Q1                    
744                   swim                  47;51;40              1884                  4104                  697                   405                   Q1                    
745                   swing                 9;47;45;51            3118                  2878                  516                   323                   Q1                    
746                   swoon                 31;40                 44                    43030                 4123                  806                   Q3                    
747                   tackle                98                    2648                  3234                  562                   346                   Q1                    
748                   take                  11;10;26;54;13;29;103 157795                51                    11                    7                     Q1                    
749                   talk                  37;59                 20688                 469                   102                   79                    Q1                    
750                   tan                   45;41                 146                   22146                 2791                  775                   Q2                    
751                   tap                   18;17;35              1941                  4019                  691                   401                   Q1                    
752                   tarnish               45                    100                   27467                 3222                  797                   Q2                    
753                   taste                 30;35;109             1160                  5784                  930                   489                   Q1                    
754                   teach                 37                    7329                  1403                  264                   184                   Q1                    
755                   tear                  45;51;40;23           2597                  3274                  569                   349                   Q1                    
756                   tease                 31;59;35;41           863                   7131                  1114                  547                   Q1                    
757                   tell                  37                    64772                 117                   26                    18                    Q1                    
758                   tend                  N/A                   10535                 968                   196                   142                   Q1                    
759                   testify               37                    523                   9938                  1459                  631                   Q1                    
760                   thaw                  57;45                 133                   23358                 2897                  782                   Q2                    
761                   think                 62;29                 100286                87                    19                    13                    Q1                    
762                   throw                 31;17                 9703                  1065                  216                   157                   Q1                    
763                   tickle                31;20;40              207                   17836                 2385                  747                   Q2                    
764                   tie                   22                    3331                  2745                  495                   310                   Q1                    
765                   tire                  31;45                 344                   12946                 1850                  684                   Q2                    
766                   toast                 33;26;45              224                   17026                 2307                  737                   Q2                    
767                   toil                  51                    145                   22255                 2802                  777                   Q2                    
768                   toss                  26;17;40              1123                  5912                  943                   492                   Q1                    
769                   tote                  11                    N/A                   N/A                   N/A                   827                   N/A                   
770                   touch                 47;31;86;20           5816                  1697                  316                   219                   Q1                    
771                   tow                   11                    287                   14536                 2034                  711                   Q2                    
772                   trail                 51                    1026                  6330                  1009                  510                   Q1                    
773                   transplant            45                    151                   21668                 2749                  770                   Q2                    
774                   travel                51                    6299                  1594                  298                   206                   Q1                    
775                   tread                 51;21                 708                   8155                  1251                  583                   Q1                    
776                   treat                 13;29                 10504                 970                   197                   143                   Q1                    
777                   trim                  9;10;41               635                   8781                  1323                  596                   Q1                    
778                   triumph               31                    260                   15491                 2146                  728                   Q2                    
779                   try                   61;31                 44385                 186                   38                    27                    Q1                    
780                   tug                   11;20;12;15;23        701                   8215                  1261                  585                   Q1                    
781                   tumble                47;45;51;22           780                   7642                  1188                  567                   Q1                    
782                   turn                  47;26;109;51;40       40324                 206                   45                    33                    Q1                    
783                   understand            77;87                 20453                 479                   103                   80                    Q1                    
784                   unite                 22                    1534                  4742                  783                   437                   Q1                    
785                   unload                10                    435                   11131                 1638                  660                   Q1                    
786                   update                37                    1326                  5250                  849                   461                   Q1                    
787                   upset                 31                    2082                  3824                  663                   389                   Q1                    
788                   urge                  58                    3383                  2715                  489                   306                   Q1                    
789                   use                   54;66;105             99992                 88                    20                    14                    Q1                    
790                   usurp                 N/A                   150                   21751                 2756                  772                   Q2                    
791                   vacate                10;51                 226                   16944                 2299                  736                   Q2                    
792                   vanish                48                    1548                  4711                  777                   433                   Q1                    
793                   vary                  45;23                 6152                  1623                  301                   208                   Q1                    
794                   veer                  47                    260                   15497                 2148                  729                   Q2                    
795                   verify                101;37;78             523                   9928                  1461                  632                   Q1                    
796                   visit                 36                    10447                 974                   199                   144                   Q1                    
797                   vomit                 40                    277                   14907                 2080                  718                   Q2                    
798                   wag                   40                    423                   11299                 1659                  661                   Q1                    
799                   wait                  47                    14481                 704                   146                   110                   Q1                    
800                   wake                  45                    3437                  2688                  485                   304                   Q1                    
801                   walk                  51                    18434                 541                   113                   89                    Q1                    
802                   wander                47;51                 2127                  3768                  655                   385                   Q1                    
803                   want                  32;29                 66674                 111                   24                    17                    Q1                    
804                   warn                  37                    5624                  1753                  324                   224                   Q1                    
805                   wash                  10;26;41              3584                  2583                  469                   297                   Q1                    
806                   waste                 68;44;66              2390                  3459                  603                   364                   Q1                    
807                   watch                 30;35                 16867                 597                   124                   96                    Q1                    
808                   wear                  10;41                 12387                 841                   168                   128                   Q1                    
809                   weave                 47;26;51              940                   6739                  1057                  527                   Q1                    
810                   wed                   22                    455                   10821                 1589                  654                   Q1                    
811                   weep                  31;40                 1140                  5850                  934                   490                   Q1                    
812                   whip                  18;26;22              694                   8284                  1266                  587                   Q1                    
813                   whisper               37;43                 2974                  2965                  530                   332                   Q1                    
814                   whistle               26;38;37;43;40        548                   9639                  1423                  622                   Q1                    
815                   wiggle                47;40;49              73                    32720                 3564                  801                   Q2                    
816                   win                   13                    21510                 448                   98                    75                    Q1                    
817                   wipe                  9;10                  2057                  3864                  671                   392                   Q1                    
818                   withdraw              82;10;51              4259                  2249                  408                   264                   Q1                    
819                   work                  26;73                 51916                 158                   33                    24                    Q1                    
820                   worry                 31;88                 4703                  2073                  384                   254                   Q1                    
821                   wrap                  9                     1986                  3947                  682                   397                   Q1                    
822                   wreck                 44                    555                   9565                  1410                  616                   Q1                    
823                   write                 25;26;37              34794                 244                   52                    37                    Q1                    
824                   yawn                  40                    368                   12366                 1789                  676                   Q1                    
825                   yearn                 32                    222                   17108                 2318                  738                   Q2                    
826                   yell                  38;37                 1066                  6142                  977                   501                   Q1                    
827                   yield                 13;95                 1824                  4207                  717                   411                   Q1                    
