word1	word2	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
touch	reach	2	4	1	3	3	1	2	2	4	0
keep	hold	4	5	4	4	4	2	3	2	5	4
carry	guess	0	4	0	0	1	1	0	0	2	0
haul	lift	4	4	5	4	6	4	2	4	3	1
receive	send	3	4	0	2	1	1	0	0	3	0
wipe	wash	3	3	3	4	2	3	1	4	5	1
cry	worry	0	4	1	3	2	1	2	4	5	0
dive	swim	2	4	1	3	2	2	3	4	5	0
stop	wait	2	4	3	4	5	2	3	4	5	0
hear	talk	1	3	0	1	1	1	0	0	5	0
drown	kill	4	3	4	2	3	3	1	3	2	4
go	disperse	1	4	4	4	5	3	3	1	4	5
decompose	degrade	5	5	2	4	6	4	2	5	4	2
shrink	reduce	6	5	6	6	6	5	6	6	4	5
respect	adore	3	3	2	4	4	3	5	0	4	0
boil	burn	3	2	0	1	3	1	2	0	5	1
appear	vanish	1	3	0	0	1	1	0	0	5	0
perspire	sweat	6	4	6	6	6	6	6	6	6	6
give	allow	0	3	5	2	2	1	4	4	4	3
annihilate	destroy	6	6	6	6	6	6	6	6	4	1
enter	admit	1	4	0	4	5	1	2	5	5	5
move	avoid	0	3	1	1	3	1	2	3	5	3
agree	accept	5	3	5	5	6	2	5	3	6	1
engage	wed	4	4	0	4	2	2	4	1	4	1
hide	find	2	4	0	1	1	1	0	0	2	0	0
polish	rub	4	3	4	3	4	3	1	4	5	2
achieve	conquer	3	3	2	4	5	1	3	5	3	3
defrost	freeze	3	3	0	1	1	1	0	0	3	0
select	choose	6	4	6	6	6	4	6	6	5	6
perceive	hear	3	4	1	2	4	2	2	0	5	2
feel	touch	6	5	6	6	6	2	5	4	5	2
kneel	sit	1	2	0	1	1	2	3	1	3	3
help	please	4	0	0	3	1	1	2	0	3	1
draw	attract	2	0	0	3	2	3	0	3	6	1
look	watch	4	5	6	6	4	5	4	6	6	4
hope	design	1	1	0	1	0	0	0	0	1	1
originate	discover	1	2	0	1	0	0	5	4	5	3
attract	disgust	1	0	0	1	0	0	0	0	0	1
remark	talk	4	4	6	1	3	4	2	4	5	2
fit	trim	2	2	0	2	1	1	3	3	4	4
advance	charge	3	5	0	3	5	3	4	4	5	4
forget	overcome	1	2	5	1	0	0	0	3	0	1
prohibit	allow	1	0	0	1	0	0	0	0	0	1
gamble	waste	1	1	0	5	1	0	1	5	3	2
calculate	solve	2	4	5	6	2	3	5	5	4	2
evaluate	determine	4	3	6	2	3	4	5	3	5	4
confuse	help	1	0	0	1	0	0	0	0	0	1
aim	shoot	2	1	5	2	2	0	0	3	3	2
drain	remove	3	4	5	2	5	4	1	4	3	2
laugh	hoot	3	5	0	3	2	4	5	6	4	4
swim	meet	1	0	0	1	0	0	0	0	0	1
hang	hold	2	1	0	1	4	1	2	5	4	3
help	cry	2	0	0	1	0	0	0	0	0	1
pelt	throw	3	4	5	3	3	0	3	6	4	5
vanish	disappear	4	6	6	6	6	6	6	6	6	5
ask	talk	4	4	6	1	3	3	2	5	3	1
squeal	laugh	2	3	6	2	2	3	4	5	5	2
squint	stare	1	3	5	1	3	2	0	5	3	2
create	draw	1	3	5	2	4	2	0	6	3	1
disown	renounce	2	5	5	1	5	5	6	6	6	5
detach	separate	5	5	6	3	6	6	3	6	6	3
enjoy	start	1	0	0	1	0	0	0	0	0	1
prosecute	try	3	5	0	1	0	5	5	0	3	5
toss	flip	6	5	6	4	6	1	0	5	3	5
describe	define	6	5	6	5	6	1	6	4	5	4
refuse	give	1	0	0	1	0	0	0	0	0	1
join	marry	2	1	0	1	4	2	2	5	5	5
express	explain	1	4	6	1	3	4	3	5	5	3
shun	ignore	6	5	5	5	6	5	4	6	6	4
prohibit	disallow	6	6	6	6	6	6	5	6	6	5
lose	disown	3	0	0	1	0	0	0	1	2	1
think	determine	4	3	5	1	0	1	0	4	4	1
pause	stop	3	4	5	2	5	3	4	6	6	2
examine	reject	3	0	0	1	0	0	0	0	0	1
devote	dedicate	6	4	6	2	4	4	6	5	6	5
lose	gamble	1	0	0	2	2	0	0	5	0	1
smell	sniff	5	5	6	3	6	4	4	6	6	3
confuse	understand	1	0	0	1	0	0	0	0	0	1
grab	grasp	4	4	6	2	4	4	5	6	5	5
rise	wake	6	5	6	5	4	2	6	6	5	5
condemn	punish	1	4	4	5	5	2	2	5	4	5
convince	argue	3	3	2	5	1	1	4	2	3	1
offend	bother	4	2	4	4	0	3	6	4	5	5
overflow	spill	5	3	5	4	4	4	6	5	6	1
throw	kick	0	3	1	1	0	1	0	2	1	1
sew	weave	3	4	4	3	5	2	5	3	1	1
laugh	embarrass	0	1	2	2	1	1	3	2	1	1
enrage	upset	5	3	5	6	6	4	6	4	5	5
look	assault	1	1	0	0	0	0	0	1	1	0
say	announce	6	5	5	6	5	4	6	5	4	4
charge	evict	3	2	5	4	6	0	0	5	1	2
hide	deny	2	3	4	2	4	0	4	2	3	3
forget	deny	2	1	4	1	0	0	2	3	3	1
roam	follow	1	2	2	0	5	0	1	3	2	1
count	matter	2	1	3	6	1	0	0	2	5	5
swim	run	0	2	1	0	0	0	2	3	2	1
inquire	think	5	3	4	5	0	3	4	4	3	4
acknowledge	agree	4	2	5	4	1	2	3	4	4	3
go	let	1	1	4	0	1	0	2	2	4	2
fasten	snap	2	1	3	6	6	2	3	3	3	3
talk	associate	2	3	5	5	1	0	0	4	2	3
laugh	try	0	2	1	0	1	0	0	1	3	2
mean	ascend	2	1	3	0	0	0	0	2	4	0
embrace	make	0	1	4	0	0	0	0	4	4	2
condemn	hate	1	3	2	5	6	2	4	5	3	3
join	belong	3	2	4	6	4	0	6	3	5	3
retire	fail	0	1	2	1	0	0	0	1	3	1
rebel	fight	2	3	5	6	5	3	6	3	4	2
gamble	bet	6	5	6	6	6	5	6	5	4	6
fill	pour	4	4	4	6	5	0	3	4	4	3
tap	pat	4	4	5	6	2	3	6	4	4	4
feel	taste	0	2	0	0	0	0	0	2	3	0
conquer	defeat	0	6	6	6	5	4	0	4	4	6
drip	urge	0	0	2	0	0	0	0	1	4	0
follow	chase	4	3	5	6	5	4	5	3	5	3
settle	concur	0	2	3	2	5	0	0	3	4	0
see	hear	0	2	4	0	0	0	0	4	2	0
win	overcome	1	4	4	6	0	3	2	3	6	3
criticize	slice	0	0	4	3	0	0	0	2	1	0
call	need	2	0	4	3	0	0	0	3	3	0
save	imitate	0	0	2	0	0	0	0	2	4	0
clench	aid	0	0	4	2	0	0	0	3	4	0
nag	complain	4	6	6	4	6	3	6	4	4	6
pinch	tickle	0	3	2	0	0	1	0	2	4	1
drink	realize	0	0	4	0	0	0	0	1	5	0
talk	debate	3	3	5	4	3	2	3	5	3	4
agree	differ	0	0	1	0	0	0	0	3	3	0
hop	knit	0	0	4	0	0	0	0	3	1	0
walk	stand	1	2	5	0	0	0	3	3	5	0
educate	barter	0	0	4	0	0	0	0	2	2	0
lie	rationalize	1	2	1	1	1	1	4	3	0	1
dare	accept	1	1	1	0	0	0	2	0	0	2
wait	hesitate	3	4	2	3	2	5	5	5	2	6
conquer	beat	6	5	3	6	5	5	6	5	4	6
reply	respond	6	6	5	6	6	6	6	6	6	6
protest	release	2	0	1	0	0	0	0	1	0	3
change	stay	0	0	1	0	0	0	1	0	0	1
hug	pat	3	2	4	0	1	2	2	0	1	4
pause	reflect	2	2	2	2	2	2	2	4	3	4
move	crawl	3	1	2	2	3	3	3	1	1	3
appear	see	1	2	1	0	4	3	0	3	3	5
seize	grasp	6	2	3	5	6	5	2	6	5	5
smell	touch	1	1	1	0	0	1	0	0	1	1
succeed	prosper	6	3	3	5	4	5	5	5	5	6
gain	get	6	3	5	6	6	6	4	5	6	5
stir	fry	1	1	1	0	0	1	2	0	1	4
prosecute	blame	3	2	3	1	1	1	3	5	2	6
do	stop	0	1	1	0	0	0	0	0	0	0
go	stay	0	0	0	0	0	0	0	0	0	0
suggest	say	4	2	4	2	1	3	4	6	4	5
sing	whistle	1	1	1	3	0	4	3	2	1	3
stain	wash	0	0	0	0	0	0	0	0	0	1
assume	predict	4	0	0	1	3	1	4	5	1	5
borrow	keep	1	1	1	0	0	2	1	0	0	1
regret	forget	1	0	1	0	0	0	0	0	0	3
admire	respect	6	3	4	5	2	4	4	5	4	6
start	stop	0	1	0	0	0	0	0	0	0	1
evaluate	sway	1	0	1	0	0	0	0	2	0	2
want	crave	5	2	5	3	5	6	4	6	4	6
lose	keep	0	0	0	0	0	0	0	0	0	0
update	inform	5	1	3	4	2	5	3	5	3	6
fasten	loosen	0	1	0	0	0	0	0	0	0	1
hate	annihilate	1	1	1	0	1	2	4	3	1	4
worry	concern	4	3	5	3	6	6	5	6	3	6
prefer	want	2	1	0	4	4	3	6	6	5	6
like	want	1	1	1	2	2	3	4	3	2	4
attend	join	3	1	4	1	1	2	2	1	2	6
walk	follow	2	1	1	2	0	2	3	2	2	2
refrain	repress	6	0	1	0	1	5	3	5	0	6
look	see	6	2	4	5	1	6	6	6	6	6
dissolve	melt	6	0	2	4	3	5	1	6	5	6
disintegrate	decay	6	2	2	6	2	6	3	6	5	6
remain	retain	3	2	3	1	2	1	0	5	4	6
guess	assume	6	1	1	3	4	4	5	5	5	6
flow	pour	3	1	2	4	3	4	3	3	3	6
set	prepare	4	1	1	0	5	4	3	5	2	5
ask	plead	5	2	1	4	1	3	2	4	3	4
lead	direct	5	2	2	5	3	5	4	6	4	6
look	glare	3	1	3	3	0	4	3	4	4	6
apply	exploit	1	0	0	0	0	0	0	2	0	1
chase	giggle	1	0	0	0	0	1	0	2	0	0
hurt	offend	5	5	5	4	5	3	4	2	4	4
win	finish	2	0	4	3	3	4	3	2	1	5
permit	disallow	5	0	2	0	0	2	0	1	0	0
reap	jump	1	0	0	0	0	2	0	1	6	0
cough	sniff	3	1	3	2	3	4	0	3	0	1
press	compound	4	3	2	6	6	3	3	3	5	5
renounce	dislike	4	3	3	6	4	5	5	4	0	4
save	help	5	5	6	5	6	4	5	5	3	6
lie	admit	5	0	3	0	4	1	3	2	0	2
debate	fight	4	5	5	5	6	3	3	4	0	5
yield	submit	6	6	1	3	0	6	4	2	6	6
add	accumulate	6	5	6	6	6	4	4	4	4	6
kill	annihilate	6	5	6	6	6	6	5	5	0	4
flee	escape	6	5	6	6	6	6	6	6	6	6
scream	scold	2	1	6	4	3	4	2	3	0	3
win	award	1	0	4	6	0	3	4	4	0	2
play	lead	1	0	1	2	2	3	3	2	0	0
look	inspect	5	3	6	6	6	5	5	6	6	6
protect	kill	1	0	3	0	0	1	0	2	0	2
blur	see	1	0	3	1	0	1	0	3	0	0
get	give	1	0	3	1	0	2	0	2	0	0
tell	remind	2	4	5	5	6	4	3	4	0	1
wear	fit	3	0	2	5	6	3	3	5	0	2
hang	condemn	1	1	1	3	6	5	2	3	0	3
squeak	squeal	6	5	5	5	6	5	3	4	5	1
retreat	attack	1	0	1	0	0	1	0	2	0	0
realize	acknowledge	5	5	4	6	6	4	3	5	4	4
fade	rescue	1	0	0	0	0	1	0	3	0	0
entertain	sing	3	5	5	4	6	3	4	4	0	2
disperse	gather	1	0	3	1	0	1	0	2	0	0
give	retain	1	0	3	0	0	1	0	2	0	0
melt	defrost	3	5	6	6	6	5	5	5	6	6
learn	think	1	4	4	5	6	4	5	3	0	2
look	appear	1	6	1	3	6	5	3	5	0	0
look	perceive	3	4	2	1	6	4	4	5	0	1
suspect	think	4	4	5	6	6	4	4	5	0	2
grasp	hold	5	5	6	6	6	5	5	6	6	6
jump	skip	5	4	3	5	5	4	3	3	0	1
help	participate	2	4	5	5	6	2	3	4	0	6
attend	leave	1	0	3	0	0	1	0	2	0	0
debate	decide	4	0	1	4	6	3	1	3	0	6
discharge	roam	1	0	1	0	0	2	3	4	0	0
waste	save	1	0	2	0	0	1	0	2	0	0
steal	buy	1	0	4	0	0	1	0	1	0	0
leap	bound	5	6	6	5	6	5	3	4	6	0
forget	know	1	0	3	0	0	1	0	2	0	0
implode	explode	5	3	3	3	0	1	0	4	0	0
annoy	irritate	5	6	6	6	6	5	5	5	6	6
hold	release	1	0	3	0	0	1	0	2	0	0
call	reply	1	2	2	2	3	2	6	0	1	1
confuse	frustrate	2	4	4	5	1	4	2	6	2	1
fail	decline	1	5	2	4	1	0	6	0	0	3
pay	treat	1	4	2	4	1	5	4	5	1	4
need	urge	3	6	4	3	1	1	5	4	0	1
pretend	suppose	6	1	2	1	1	4	2	5	3	2
meet	attend	2	1	3	3	1	3	4	2	1	3
obtain	hold	1	5	2	3	1	5	5	5	4	1
climb	rise	6	5	5	5	5	5	6	4	5	4
run	move	2	4	4	3	1	5	6	5	3	5
kidnap	snatch	6	5	5	4	3	4	5	5	1	5
stamp	collect	1	3	0	1	1	0	0	0	0	1
stay	retain	5	3	4	4	3	3	5	0	0	1
live	lend	1	2	0	1	1	0	0	0	0	0
sew	attach	5	5	4	3	2	5	6	5	3	5
disappear	reappear	1	1	0	1	1	0	0	0	0	0
hop	gamble	1	1	0	1	1	0	0	0	0	1
aid	announce	1	1	0	1	1	1	0	0	0	0
gain	obtain	5	3	4	4	6	5	6	6	2	5
pop	stretch	1	2	0	1	1	1	0	3	0	1
stay	come	1	1	0	2	1	1	0	0	0	0
convince	slither	4	2	0	1	1	0	0	0	0	0
collect	obtain	2	5	3	4	4	5	6	5	4	4
whip	hit	1	4	4	4	4	5	6	4	3	4
abstain	forbear	1	4	1	1	2	6	5	6	6	1
blame	push	1	2	0	1	1	0	1	0	0	0
respect	salute	4	4	2	4	3	2	5	0	2	3
hit	pinch	1	1	1	2	1	4	5	0	0	3
spell	hypnotize	2	3	2	4	1	1	6	0	0	3
change	convince	1	3	0	3	1	4	3	4	1	4
restore	fix	1	5	3	5	6	5	6	5	5	6
crash	break	2	3	1	4	6	4	6	2	0	6
hurt	deceive	2	2	1	3	6	2	5	0	0	5
salute	perform	1	4	0	1	1	1	1	0	0	1
cover	protect	3	5	4	3	6	5	5	4	2	4
abuse	neglect	1	4	4	4	5	5	5	6	2	4
register	verify	2	3	3	2	1	3	3	0	2	0
touch	hug	1	2	1	2	1	5	6	0	1	3
request	demand	2	3	2	4	1	6	4	4	1	0
give	keep	1	1	0	1	1	1	0	0	0	0
laugh	chuck	1	5	0	1	5	0	0	0	0	3
spill	stain	2	3	1	2	2	5	4	0	1	3
betray	cheat	2	4	5	4	6	6	6	5	1	5
despair	cry	2	1	5	4	6	4	2	3	2	5
lend	borrow	1	5	0	2	6	1	6	0	0	0
pinch	dash	1	2	0	1	1	0	4	0	0	1
give	borrow	1	2	0	1	6	1	5	0	0	0
build	restore	2	4	3	3	6	4	1	4	0	3
fail	triumph	1	1	0	1	1	1	0	0	0	0
help	warn	1	2	3	1	3	5	4	2	0	2
die	decay	2	2	5	6	2	4	4	4	3	4
beat	pounce	1	2	0	3	4	2	0	1	1	3
gather	take	3	4	5	2	3	1	5	5	4	1
yearn	ache	3	3	5	6	3	5	6	4	6	1
attach	combine	2	2	6	6	4	5	0	5	5	5
disprove	disagree	3	4	4	2	3	3	3	4	4	6
attack	hurt	2	3	4	6	3	3	4	6	5	2
slip	cover	0	3	0	0	4	1	0	3	1	1
take	snatch	3	4	6	6	3	4	6	5	4	6
stop	freeze	2	2	6	6	3	2	5	5	3	4
complain	disagree	1	3	1	3	3	2	3	4	2	1
admit	say	2	2	3	6	3	4	4	4	1	1
please	urge	1	2	0	0	3	1	0	4	1	1
show	see	3	3	0	0	4	4	4	4	4	5
annoy	disgust	2	2	4	0	3	5	3	4	4	1
achieve	strive	0	4	0	0	3	3	5	3	4	3
break	detach	0	2	4	6	3	5	4	5	3	5
swim	tread	0	3	3	2	4	2	4	4	2	4
imitate	impersonate	4	4	6	6	3	6	6	4	6	6
determine	understand	2	5	5	4	3	6	1	6	3	3
gulp	slurp	1	4	1	0	3	3	5	5	4	4
control	operate	2	2	6	6	3	6	6	6	6	4
shake	dance	0	2	5	0	4	2	5	5	3	5
cheat	sneak	2	2	3	0	3	1	4	4	2	1
perish	leave	0	2	0	0	2	1	0	0	1	2
compound	mix	3	1	6	3	4	5	0	5	3	5
repress	hold	2	2	6	3	3	3	1	3	6	6
stand	rise	2	4	0	4	3	5	6	6	5	6
cooperate	collaborate	3	2	6	4	2	6	5	5	6	6
sell	barter	1	2	5	0	4	3	4	5	3	5
bleach	wash	0	2	5	0	3	3	3	2	3	3
stink	smell	5	3	6	6	3	6	6	5	6	6
toast	burn	0	3	4	0	3	5	5	4	5	5
erode	decompose	1	4	6	3	4	3	6	5	6	6
learn	know	2	3	6	0	3	4	5	5	4	2
restrict	dance	0	1	0	0	3	0	0	0	1	1
wait	sit	0	1	4	0	3	4	1	3	1	1
squeal	hurt	0	1	0	0	4	1	1	3	2	3
smear	blend	2	3	3	0	2	1	0	3	3	5
prosper	grow	2	4	6	2	3	5	6	6	5	4
look	yield	0	3	0	0	2	4	0	0	1	1
tear	demolish	0	4	4	3	3	5	1	4	3	3
stretch	reach	1	4	5	6	3	4	6	5	2	2
admit	confess	4	5	6	6	4	6	6	6	6	6
shake	shiver	2	3	6	4	2	3	3	6	4	5
despise	like	0	2	0	0	2	0	1	0	2	1
retain	save	4	4	6	5	2	5	4	6	5	3
keep	reserve	0	4	6	4	3	5	5	5	5	4
remark	reply	1	3	6	5	3	4	4	6	4	4
instruct	teach	4	5	6	5	3	6	6	6	6	6
kill	smother	4	3	0	6	4	1	4	2	1	4
salute	acknowledge	4	3	3	3	2	2	2	4	2	3
croak	cough	1	1	0	1	1	1	1	0	4	4
talk	explain	5	3	3	4	3	3	3	5	3	4
save	spare	5	1	3	2	1	4	2	6	6	6
grind	bump	3	1	1	5	3	0	2	0	4	4
buy	purchase	6	6	5	6	6	5	5	6	6	6
beat	mistreat	4	4	2	6	4	3	2	3	4	2
nag	yell	3	3	3	3	2	1	3	3	2	2
join	integrate	3	6	5	5	6	2	4	5	5	6
speak	tell	5	2	3	6	3	4	4	6	2	6
remain	leave	0	0	0	0	0	0	3	0	0	0
dunk	soak	5	3	3	5	0	1	3	5	4	4
talk	rap	2	1	4	3	0	1	2	5	2	6
set	lay	5	0	4	4	3	1	3	6	5	6
upset	deteriorate	0	1	1	5	0	0	2	4	1	2
pelt	hit	4	4	5	2	3	3	4	4	6	6
separate	depart	3	1	3	6	0	0	3	6	1	5
taste	acquire	0	0	3	6	0	0	2	3	1	2
forbid	pull	0	0	1	5	0	0	2	3	0	0
control	stop	3	1	3	4	0	3	3	2	2	0
sting	prick	4	5	4	6	1	2	3	3	5	5
deposit	slip	0	0	1	5	0	0	3	0	3	4
evaluate	think	5	6	5	5	3	5	4	6	4	5
hike	trail	3	5	5	6	5	0	2	5	2	0
finish	graduate	2	2	3	5	3	1	3	6	2	5
please	request	0	3	0	3	1	0	2	0	2	0
follow	leave	1	0	0	5	0	0	2	0	1	0
fight	hit	4	4	5	6	3	2	5	4	3	2
unite	guess	0	0	0	0	0	0	1	0	0	0
spin	turn	4	5	3	6	3	1	4	6	4	6
portray	imitate	5	3	5	6	5	4	5	3	5	5
stretch	pull	4	3	4	5	5	2	5	2	5	4
drink	stir	0	1	0	1	0	0	2	2	2	0
accept	want	0	0	3	5	0	0	2	1	2	3
inhale	smell	5	5	3	6	5	1	4	5	4	4
sing	play	0	2	0	2	1	2	2	5	0	0
throw	move	1	1	1	3	2	0	2	3	2	4
talk	criticize	4	0	0	1	0	1	3	3	3	1
soak	drench	5	6	5	6	6	6	5	5	5	6
crush	demolish	5	6	5	6	5	2	4	5	5	6
belong	intoxicate	0	0	0	1	0	0	1	0	0	0
know	define	1	2	3	5	1	1	3	3	5	1
go	run	1	0	0	5	1	2	3	2	2	1
go	sneak	1	0	0	1	1	1	3	2	2	0
argue	demand	1	1	3	6	1	2	3	1	3	2
walk	wander	2	4	6	6	3	5	5	4	4	4
take	choose	2	1	3	3	1	0	2	1	5	5
upset	offend	5	4	5	6	4	6	4	6	6	6
call	respond	1	2	3	6	5	0	3	5	2	4
analyze	evaluate	5	5	6	6	6	6	3	2	5	5
sway	swing	2	5	4	6	5	4	4	4	5	6
stain	remove	0	0	0	0	0	0	0	0	0	1
move	transplant	3	4	5	6	4	4	4	3	1	4
steal	borrow	0	2	0	4	1	1	2	0	2	3
crave	desire	4	5	6	6	6	5	5	5	5	5
leave	shun	2	4	5	6	2	3	3	1	4	3
ignore	disregard	5	5	5	4	5	6	4	4	6	3
beat	fight	3	4	0	5	3	5	5	0	4	6
go	drive	1	3	4	5	4	1	4	2	3	5
foil	strain	0	3	1	6	1	0	2	0	1	2
travel	hike	1	4	3	6	3	2	4	0	3	4
disperse	sow	2	3	0	5	6	5	2	2	4	3
choke	kill	1	4	5	6	5	1	4	0	3	5
hope	rely	3	3	6	4	0	0	3	0	2	1
persuade	sway	3	5	6	6	5	0	5	6	2	6
decline	advance	0	0	0	0	2	0	1	0	0	5
triumph	succeed	5	6	6	6	6	6	6	6	6	6
repress	shut	2	3	6	6	5	1	4	2	4	2
dispose	build	0	0	0	0	1	0	0	0	0	0
move	walk	2	4	5	6	6	1	5	4	4	4
hate	glare	1	4	4	6	3	0	1	0	3	3
leave	wait	0	0	0	0	0	0	1	0	3	0
smell	remove	0	3	0	0	2	0	1	0	0	0
sip	swallow	0	3	4	3	6	1	3	5	4	2
prosecute	judge	3	4	5	6	5	0	5	2	4	0
criticize	argue	3	3	5	3	3	1	4	1	4	1
evacuate	remove	2	5	6	3	0	6	1	1	4	5
introduce	know	1	3	0	0	2	0	4	1	4	0
drink	gulp	3	4	5	3	5	3	5	3	4	4
read	comprehend	2	3	6	6	6	0	5	0	4	3
avoid	spray	0	1	1	1	1	0	1	0	0	0
hope	despair	0	1	0	1	0	0	0	0	0	0
exist	live	1	5	6	6	6	6	6	5	5	4
climb	descend	1	0	0	0	0	0	0	0	1	0
hit	knock	1	4	5	6	5	3	3	2	4	3
flow	explain	0	1	1	4	2	0	3	0	0	2
tug	jerk	3	4	6	5	4	3	4	5	4	5
develop	search	0	3	2	4	3	0	5	2	3	0
yield	give	4	1	6	4	5	5	3	0	5	5
adopt	wash	0	3	0	4	0	0	4	0	0	0
steal	usurp	1	3	5	3	6	0	3	0	5	0
achieve	accomplish	3	5	6	6	6	6	2	6	6	5
cry	sob	6	5	6	6	6	5	4	5	5	6
dislike	shun	4	5	6	6	3	1	3	1	3	3
smear	wipe	2	5	6	6	5	3	1	6	3	1
engage	involve	5	5	6	6	6	5	2	6	4	5
mistreat	scramble	0	3	0	3	0	0	5	0	0	1
think	ponder	6	5	6	6	6	6	2	6	5	5
disallow	discourage	2	3	5	6	4	4	4	0	1	4
hike	hitch	0	1	1	0	0	4	0	2	0	0
come	join	3	4	2	2	2	4	0	6	6	1
flush	embarrass	1	4	4	0	3	5	0	5	6	0
waste	disintegrate	1	1	1	3	0	3	0	5	0	2
bury	forget	1	5	1	3	2	3	2	3	4	0
win	compete	1	6	2	4	2	1	1	3	4	0
learn	confuse	0	1	2	0	0	0	0	1	0	0
gather	bring	3	3	3	3	4	2	2	4	3	1
sue	pay	0	5	1	0	0	1	0	1	5	0
decide	remove	0	1	3	0	1	2	0	1	0	0
amuse	laugh	4	3	5	4	6	5	4	5	6	2
mimic	tease	4	4	2	3	3	5	2	5	6	1
disappear	earn	0	1	1	0	0	0	0	1	0	0
tease	hurt	1	2	4	2	1	2	2	4	6	0
arrive	come	4	4	5	1	4	6	5	5	6	3
arrest	suspect	1	6	1	0	3	3	1	3	5	0
smash	break	6	6	5	6	6	6	6	6	6	4
veer	avoid	4	6	4	5	6	3	5	6	6	4
obtain	receive	4	6	4	6	6	5	5	5	6	2
talk	argue	0	1	2	2	0	5	5	4	4	0
go	flee	4	1	3	5	4	3	6	2	6	3
assault	kill	3	1	4	4	5	5	5	3	5	0
betray	lie	2	3	5	4	6	6	6	6	6	4
urge	beg	0	1	3	5	0	4	3	4	6	4
move	unload	1	1	2	4	0	2	3	5	6	1
buy	replace	1	1	1	1	4	4	4	5	4	1
enter	escape	0	1	1	0	0	0	1	2	2	0
attack	capture	0	2	3	3	2	0	3	4	3	0
inquire	pull	0	1	1	0	0	2	0	2	0	0
restrict	limit	6	6	5	6	6	6	6	5	6	3
release	pardon	4	6	2	5	3	3	5	4	4	2
transplant	replace	2	3	2	4	5	2	5	3	4	0
beat	pelt	5	3	3	0	5	2	6	2	1	2
carry	help	0	1	2	2	3	0	5	3	2	1
drip	adore	0	1	1	0	0	0	0	0	0	0
use	reduce	0	3	1	2	2	0	1	2	2	0
use	borrow	1	2	3	0	1	2	3	4	6	0
cry	upset	5	6	2	1	5	1	3	6	6	1
scribble	prick	0	1	0	0	0	1	0	1	0	0
smell	offend	0	1	0	0	1	0	0	1	1	0
sell	purchase	2	2	1	0	1	0	0	1	6	0
retreat	run	4	1	3	5	4	2	5	1	6	3
decay	decompose	6	1	5	6	6	5	6	6	6	3
punch	slap	3	2	4	4	0	4	4	6	3	2
descend	fall	4	6	3	6	5	6	6	5	6	3
create	decorate	0	2	2	0	2	4	3	5	1	0
replace	give	1	2	1	0	1	2	1	1	2	0
overflow	kiss	0	1	0	0	0	0	0	1	0	0
grind	rub	4	3	2	4	5	1	6	1	2	0
wash	wear	0	1	0	0	1	0	0	1	1	0
rinse	wash	5	4	5	5	3	5	3	5	6	5
decrease	increase	0	0	0	0	1	0	0	0	0	0
explain	clarify	4	6	6	6	4	6	4	5	6	6
perceive	deceive	0	0	0	0	1	0	0	0	0	0
lay	incline	1	3	1	0	3	4	1	6	6	5
forget	remember	0	0	0	0	1	0	0	0	0	0
croak	die	5	4	6	4	3	6	5	3	6	6
wreck	smash	5	6	6	4	3	6	4	6	6	4
obtain	steal	1	3	3	4	2	3	1	1	6	0
perform	dance	2	4	5	3	4	4	2	5	6	3
replace	explain	0	0	0	0	1	0	1	0	0	0
crunch	bite	3	5	5	4	2	6	3	2	6	4
stare	watch	4	6	5	4	1	6	5	4	6	5
listen	watch	1	0	0	0	2	2	1	1	0	0
travel	go	4	4	5	5	5	5	4	6	6	4
grasp	deposit	0	0	0	0	1	0	0	0	0	0
renounce	deny	2	4	0	4	4	6	2	4	6	3
cook	mix	2	2	3	1	3	0	2	2	3	3
leave	join	0	0	0	0	1	0	0	0	0	0
fasten	hold	1	3	3	0	3	5	2	4	0	5
advance	pay	2	0	4	0	2	0	1	2	6	1
excuse	rationalize	4	0	4	3	1	5	2	3	6	3
evacuate	go	2	4	4	2	5	3	2	4	6	5
laugh	enjoy	3	5	4	0	4	5	3	4	6	2
hurt	sprain	3	5	4	3	3	5	3	3	3	3
finish	bless	0	0	3	0	1	0	0	1	6	0
take	get	0	4	0	3	4	4	3	4	6	1
yell	complain	3	3	4	0	4	5	2	3	6	1
flutter	move	2	4	5	3	4	5	2	2	6	3
avoid	miss	6	6	6	6	6	6	2	6	6	5
become	arrive	0	0	0	0	4	0	1	0	0	3
assume	adopt	5	0	5	3	3	4	2	2	0	2
slurp	suck	3	3	5	5	4	5	4	3	0	3
melt	freeze	0	0	0	0	1	0	0	0	0	0
fight	hate	0	4	4	0	2	5	2	1	0	2
slither	crawl	3	5	5	1	3	6	3	5	6	4
go	ascend	1	3	5	1	3	4	2	1	6	1
promise	keep	1	5	3	0	4	0	0	0	6	2
fill	dig	0	0	0	0	1	0	0	0	0	0
tap	rap	5	0	0	4	1	5	3	4	0	5
gather	obtain	5	4	5	3	3	6	4	3	0	5
kneel	beg	1	4	3	0	4	2	2	4	6	3
invent	produce	1	4	5	0	4	4	2	4	6	5
wander	change	1	0	2	0	3	0	0	0	0	1
grow	increase	5	6	5	4	4	6	5	5	6	6
rationalize	understand	0	5	5	2	4	5	2	4	6	3
cover	bury	3	5	6	4	5	4	3	1	6	5
presume	guess	1	4	5	6	3	6	3	2	6	6
take	lift	2	1	5	0	3	2	2	1	6	4
save	deposit	2	4	5	0	2	5	4	2	6	3
